Столбец1;work_year;experience_level;employment_type;job_title;salary;salary_currency;salary_in_usd;employee_residence;remote_ratio;company_location;company_size;continent
48;2021;MI;FT;Lead Data Analyst;1450000;INR;19609;IN;100;IN;L;Asia
49;2023;MI;FT;Data Analytics Lead;1440000;INR;17511;IN;50;SG;M;Asia
50;2022;MI;FT;Business Data Analyst;1440000;INR;18314;IN;50;IN;L;Asia
51;2023;EN;FT;Data Engineer;1400000;INR;17025;IN;100;IN;L;Asia
52;2023;MI;FT;Data Scientist;1400000;INR;17025;IN;100;IN;L;Asia
53;2022;MI;FT;Business Data Analyst;1400000;INR;17805;IN;100;IN;M;Asia
54;2022;EN;FT;Data Scientist;1400000;INR;17805;IN;100;IN;M;Asia
55;2023;MI;FT;Product Data Analyst;1350000;INR;16417;IN;100;IN;L;Asia
56;2021;EN;FT;AI Scientist;1335000;INR;18053;IN;100;AS;S;Oceania
57;2023;SE;FT;Data Analyst;1300000;INR;15809;IN;100;IN;S;Asia
58;2022;MI;FT;Computer Vision Engineer;1250000;INR;15897;IN;100;IN;M;Asia
59;2021;MI;FT;Data Analyst;1250000;INR;16904;IN;50;IN;L;Asia
60;2021;MI;FT;Data Scientist;1250000;INR;16904;IN;100;IN;S;Asia
61;2021;EN;FT;Big Data Engineer;1200000;INR;16228;IN;100;IN;L;Asia
62;2023;EX;FT;Data Scientist;1050000;NOK;100416;NO;50;NO;S;Europe
63;2023;SE;FT;Data Science Consultant;1000000;THB;29301;TH;50;TH;M;Asia
64;2023;MI;FT;Data Analyst;866000;PHP;15680;PH;50;PH;L;Asia
65;2023;MI;FT;Data Scientist;840000;THB;24613;TH;50;TH;L;Asia
67;2023;SE;FT;Data Scientist;800000;NOK;76508;NO;50;NO;S;Europe
73;2023;MI;FT;Machine Learning Scientist;750000;USD;750000;US;0;US;M;North America
74;2023;MI;FT;Machine Learning Engineer;750000;USD;750000;US;0;US;M;North America
75;2023;MI;FT;Data Engineer;750000;USD;750000;US;0;US;M;North America
76;2023;SE;FT;Data Scientist;750000;USD;750000;US;0;US;M;North America
85;2020;SE;FT;Data Engineer;720000;MXN;33511;MX;0;MX;S;North America
86;2023;SE;FT;Analytics Engineer;700000;USD;700000;US;100;US;M;North America
87;2023;MI;FT;Analytics Engineer;700000;USD;700000;US;100;US;M;North America
88;2023;MI;FT;Machine Learning Software Engineer;627000;ZAR;34482;ZA;50;ZA;L;Africa
95;2023;MI;FT;Data Scientist;510000;HKD;65058;HK;0;HK;L;Asia
99;2023;EX;FT;Data Engineer;465000;USD;465000;US;0;US;M;North America
101;2020;MI;FT;Research Scientist;450000;USD;450000;US;0;US;M;North America
119;2021;MI;FT;Applied Machine Learning Scientist;423000;USD;423000;US;50;US;L;North America
122;2021;EX;CT;Principal Data Scientist;416000;USD;416000;US;100;US;S;North America
125;2020;SE;FT;Data Scientist;412000;USD;412000;US;100;US;L;North America
126;2023;SE;FT;Deep Learning Engineer;409500;CAD;303387;CA;100;CA;M;North America
128;2023;MI;FT;Research Scientist;405000;USD;405000;US;0;US;L;North America
129;2022;SE;FT;Data Analytics Lead;405000;USD;405000;US;100;US;L;North America
134;2023;SE;FT;Machine Learning Engineer;392000;USD;392000;US;0;US;M;North America
140;2023;EX;FT;Data Engineer;385000;USD;385000;US;0;US;M;North America
141;2023;SE;FT;Data Engineer;385000;USD;385000;US;0;US;M;North America
142;2023;SE;FT;Research Engineer;385000;USD;385000;US;0;US;M;North America
143;2023;SE;FT;Data Engineer;385000;USD;385000;US;0;US;M;North America
144;2023;SE;FT;Data Infrastructure Engineer;385000;USD;385000;US;0;US;M;North America
145;2023;SE;FT;ML Engineer;385000;USD;385000;US;100;US;M;North America
146;2023;SE;FT;Data Analyst;385000;USD;385000;US;0;US;M;North America
147;2023;SE;FT;ML Engineer;383910;USD;383910;US;0;US;M;North America
151;2022;SE;FT;Applied Data Scientist;380000;USD;380000;US;100;US;L;North America
152;2023;SE;FT;Data Architect;376080;USD;376080;US;100;US;M;North America
153;2023;EX;FT;Director of Data Science;375500;USD;375500;US;100;US;M;North America
154;2022;SE;FT;Machine Learning Software Engineer;375000;USD;375000;US;100;US;M;North America
155;2022;SE;FT;Data Science Tech Lead;375000;USD;375000;US;50;US;L;North America
156;2023;SE;FT;Research Scientist;374000;USD;374000;US;0;US;M;North America
158;2023;SE;FT;AI Engineer;372000;USD;372000;US;0;US;M;North America
159;2023;SE;FT;Machine Learning Engineer;370000;USD;370000;US;0;US;M;North America
160;2023;SE;FT;Research Scientist;370000;USD;370000;US;0;US;M;North America
161;2023;SE;FT;Research Engineer;370000;USD;370000;US;0;US;M;North America
162;2023;SE;FT;Machine Learning Engineer;370000;USD;370000;US;0;US;M;North America
163;2023;SE;FT;Data Engineer;370000;USD;370000;US;0;US;M;North America
164;2023;SE;FT;Data Scientist;370000;USD;370000;US;0;US;M;North America
165;2023;SE;FT;Research Engineer;370000;USD;370000;US;0;US;M;North America
166;2023;SE;FT;Research Scientist;370000;USD;370000;US;0;US;M;North America
167;2023;SE;FT;Research Engineer;370000;USD;370000;US;0;US;M;North America
168;2023;SE;FT;Research Engineer;370000;USD;370000;US;0;US;M;North America
169;2023;SE;FT;Research Scientist;370000;USD;370000;US;0;US;M;North America
170;2023;SE;FT;Data Scientist;370000;USD;370000;US;0;US;M;North America
171;2023;SE;FT;Research Scientist;370000;USD;370000;US;0;US;M;North America
172;2023;SE;FT;ML Engineer;365630;USD;365630;US;0;US;M;North America
178;2023;SE;FT;AI Engineer;360000;USD;360000;US;0;US;M;North America
179;2023;SE;FT;BI Analyst;360000;TRY;18381;TR;100;TR;L;Asia
183;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
184;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
185;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
186;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
187;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
188;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
189;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
190;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
191;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
192;2023;SE;FT;Data Scientist;359170;USD;359170;US;0;US;M;North America
194;2023;SE;FT;Data Architect;354200;USD;354200;US;100;US;M;North America
195;2023;EX;FT;Director of Data Science;353200;USD;353200;US;0;US;M;North America
196;2023;EX;FT;Director of Data Science;353200;USD;353200;US;0;US;M;North America
197;2023;SE;FT;Computer Vision Engineer;351000;USD;351000;US;0;US;M;North America
198;2023;EN;FT;Research Engineer;350000;USD;350000;US;0;US;M;North America
199;2023;EX;FT;Data Engineer;350000;USD;350000;US;100;US;M;North America
200;2023;SE;FT;AI Engineer;350000;USD;350000;US;0;US;M;North America
201;2023;SE;FT;Data Lead;350000;USD;350000;US;0;US;M;North America
202;2023;MI;FT;Analytics Engineer;350000;GBP;430640;GB;0;GB;M;Europe
203;2023;SE;FT;Applied Scientist;350000;USD;350000;US;0;US;L;North America
204;2022;MI;FT;Data Analyst;350000;GBP;430967;GB;0;GB;M;Europe
205;2022;SE;FT;Data Scientist;350000;USD;350000;US;100;US;M;North America
206;2022;SE;FT;Data Architect;345600;USD;345600;US;0;US;M;North America
211;2023;SE;FT;Research Scientist;345000;USD;345000;US;0;US;M;North America
212;2023;SE;FT;Computer Vision Engineer;342810;USD;342810;US;0;US;M;North America
214;2023;SE;FT;Machine Learning Engineer;342300;USD;342300;US;0;US;L;North America
217;2023;SE;FT;Machine Learning Engineer;340000;USD;340000;US;0;US;M;North America
218;2023;MI;FT;Research Scientist;340000;USD;340000;US;100;US;M;North America
224;2023;EX;FT;Director of Data Science;336400;USD;336400;US;0;US;M;North America
225;2023;SE;FT;ML Engineer;336300;USD;336300;US;0;US;M;North America
231;2023;SE;FT;Data Engineer;333500;USD;333500;US;0;US;M;North America
232;2023;SE;FT;Machine Learning Engineer;333500;USD;333500;US;0;US;M;North America
233;2023;EX;FT;Data Engineer;333500;USD;333500;US;0;US;M;North America
238;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
239;2023;SE;FT;ML Engineer;331640;USD;331640;US;0;US;M;North America
240;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
241;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
242;2023;SE;FT;Deep Learning Engineer;331640;USD;331640;US;0;US;M;North America
243;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
244;2023;SE;FT;Data Engineer;331640;USD;331640;US;0;US;M;North America
245;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
246;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
247;2023;SE;FT;Data Engineer;331640;USD;331640;US;0;US;M;North America
248;2023;SE;FT;Deep Learning Engineer;331640;USD;331640;US;0;US;M;North America
249;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
250;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
251;2023;SE;FT;Machine Learning Engineer;331640;USD;331640;US;0;US;M;North America
253;2023;SE;FT;Machine Learning Engineer;330000;USD;330000;US;100;US;M;North America
254;2023;EX;FT;Head of Machine Learning;330000;USD;330000;US;0;US;M;North America
255;2023;SE;FT;Machine Learning Engineer;330000;USD;330000;US;0;US;M;North America
256;2023;SE;FT;Machine Learning Engineer;330000;USD;330000;US;0;US;M;North America
257;2023;SE;FT;AI Architect;330000;USD;330000;US;0;US;M;North America
258;2023;SE;FT;AI Architect;330000;USD;330000;US;0;US;M;North America
259;2023;SE;FT;AI Architect;330000;USD;330000;US;0;US;M;North America
260;2023;SE;FT;AI Architect;330000;USD;330000;US;0;US;M;North America
261;2023;EX;FT;Head of Data Science;330000;USD;330000;US;0;US;M;North America
262;2023;SE;FT;Data Scientist;329700;USD;329700;US;0;US;M;North America
263;2023;EX;FT;Head of Data;329500;USD;329500;US;100;US;M;North America
264;2023;EX;FT;Head of Data;329500;USD;329500;US;100;US;M;North America
265;2023;EX;FT;Head of Data;329500;USD;329500;US;0;US;M;North America
266;2023;EX;FT;Head of Data;329500;USD;329500;US;0;US;M;North America
268;2023;SE;FT;Machine Learning Engineer;328400;USD;328400;US;100;US;M;North America
269;2023;SE;FT;Machine Learning Engineer;328133;USD;328133;US;0;US;M;North America
271;2023;SE;FT;Data Science Manager;328000;USD;328000;US;0;US;M;North America
274;2023;SE;FT;Machine Learning Scientist;325000;USD;325000;US;100;US;M;North America
275;2023;SE;FT;Analytics Engineering Manager;325000;GBP;399880;GB;50;GB;L;Europe
276;2020;EX;FT;Director of Data Science;325000;USD;325000;US;100;US;L;North America
288;2023;SE;FT;Machine Learning Engineer;324000;USD;324000;US;0;US;M;North America
289;2023;SE;FT;Machine Learning Engineer;324000;USD;324000;US;0;US;M;North America
290;2023;SE;FT;ML Engineer;324000;USD;324000;US;0;US;M;North America
291;2023;SE;FT;Data Scientist;324000;USD;324000;US;0;US;M;North America
292;2023;SE;FT;Machine Learning Engineer;324000;USD;324000;US;0;US;M;North America
293;2023;SE;FT;Machine Learning Engineer;324000;USD;324000;US;0;US;M;North America
294;2022;EX;FT;Data Engineer;324000;USD;324000;US;100;US;M;North America
297;2023;SE;FT;Research Scientist;323300;USD;323300;US;0;US;M;North America
298;2023;SE;FT;Machine Learning Engineer;323300;USD;323300;US;0;US;M;North America
299;2023;SE;FT;Machine Learning Engineer;323300;USD;323300;US;0;US;M;North America
300;2023;SE;FT;Data Scientist;323300;USD;323300;US;0;US;M;North America
301;2023;SE;FT;Data Scientist;323300;USD;323300;US;0;US;M;North America
302;2023;SE;FT;Machine Learning Engineer;323300;USD;323300;US;0;US;M;North America
303;2023;SE;FT;Data Scientist;323300;USD;323300;US;0;US;M;North America
304;2023;SE;FT;Data Scientist;323300;USD;323300;US;0;US;M;North America
305;2023;SE;FT;Research Scientist;323300;USD;323300;US;0;US;M;North America
306;2023;SE;FT;Machine Learning Engineer;323300;USD;323300;US;0;US;M;North America
314;2023;SE;FT;Machine Learning Engineer;319000;USD;319000;US;0;US;M;North America
315;2023;SE;FT;Machine Learning Engineer;319000;USD;319000;US;100;US;M;North America
316;2023;SE;FT;Machine Learning Engineer;318300;USD;318300;US;100;US;M;North America
317;2023;SE;FT;Machine Learning Engineer;318300;USD;318300;US;100;US;M;North America
318;2023;SE;FT;Machine Learning Engineer;317070;USD;317070;US;0;US;M;North America
319;2023;SE;FT;Data Scientist;317070;USD;317070;US;0;US;M;North America
322;2023;SE;FT;Data Scientist;316000;USD;316000;US;0;US;M;North America
323;2023;SE;FT;Data Scientist;316000;USD;316000;US;0;US;M;North America
324;2023;SE;FT;Data Scientist;316000;USD;316000;US;0;US;M;North America
325;2023;SE;FT;ML Engineer;315850;USD;315850;US;0;US;M;North America
326;2023;SE;FT;ML Engineer;315850;USD;315850;US;0;US;M;North America
327;2023;SE;FT;Machine Learning Engineer;315300;USD;315300;US;100;US;M;North America
329;2022;SE;FT;Data Engineer;315000;USD;315000;US;100;US;M;North America
331;2023;EX;FT;Head of Data Science;314100;USD;314100;US;0;US;M;North America
336;2023;SE;FT;Machine Learning Engineer;311000;USD;311000;US;0;US;M;North America
338;2023;SE;FT;Data Scientist;310270;USD;310270;US;0;US;M;North America
339;2023;SE;FT;Data Scientist;310270;USD;310270;US;0;US;M;North America
340;2023;SE;FT;Data Scientist;310270;USD;310270;US;0;US;M;North America
341;2023;SE;FT;Data Scientist;310270;USD;310270;US;0;US;M;North America
342;2023;SE;FT;Data Scientist;310270;USD;310270;US;0;US;M;North America
348;2023;MI;FT;Data Scientist;310000;USD;310000;US;0;US;M;North America
349;2023;SE;FT;Data Architect;310000;USD;310000;US;100;US;M;North America
350;2023;SE;FT;Research Engineer;310000;USD;310000;US;0;US;M;North America
351;2023;SE;FT;Data Engineer;310000;USD;310000;US;0;US;M;North America
352;2023;EX;FT;Data Engineer;310000;USD;310000;US;100;US;M;North America
353;2023;EX;FT;Data Engineer;310000;USD;310000;US;100;US;M;North America
354;2023;EX;FT;Data Engineer;310000;USD;310000;US;100;US;M;North America
355;2023;EX;FT;Data Engineer;310000;USD;310000;US;100;US;M;North America
356;2023;SE;FT;Data Engineer;310000;USD;310000;US;0;US;M;North America
357;2022;EX;FT;Data Engineer;310000;USD;310000;US;100;US;M;North America
358;2022;EX;FT;Data Engineer;310000;USD;310000;US;100;US;M;North America
359;2023;SE;FT;Applied Scientist;309400;USD;309400;US;0;US;L;North America
360;2023;SE;FT;Applied Scientist;309400;USD;309400;US;0;US;L;North America
361;2023;SE;FT;Applied Scientist;309400;USD;309400;US;0;US;L;North America
362;2023;SE;FT;Applied Scientist;309400;USD;309400;US;0;US;L;North America
363;2023;SE;FT;Applied Scientist;309400;USD;309400;US;0;US;L;North America
364;2023;SE;FT;Applied Scientist;309400;USD;309400;US;0;US;L;North America
365;2023;SE;FT;Applied Scientist;309400;USD;309400;US;0;US;L;North America
369;2023;SE;FT;Machine Learning Engineer;309000;USD;309000;US;0;US;M;North America
370;2023;SE;FT;Machine Learning Engineer;309000;USD;309000;US;0;US;M;North America
371;2023;SE;FT;Machine Learning Engineer;309000;USD;309000;US;0;US;M;North America
372;2023;SE;FT;Machine Learning Engineer;309000;USD;309000;US;0;US;M;North America
373;2023;SE;FT;Machine Learning Engineer;309000;USD;309000;US;0;US;M;North America
375;2023;SE;FT;Research Engineer;308000;USD;308000;US;0;US;M;North America
376;2023;SE;FT;Data Scientist;308000;USD;308000;US;0;US;M;North America
377;2023;SE;FT;Data Scientist;308000;USD;308000;US;0;US;M;North America
378;2023;SE;FT;Research Engineer;308000;USD;308000;US;0;US;M;North America
380;2023;SE;FT;Data Scientist;307100;USD;307100;US;0;US;M;North America
381;2023;SE;FT;Machine Learning Engineer;306400;USD;306400;CA;0;CA;M;North America
382;2023;SE;FT;Data Architect;306000;USD;306000;US;100;US;M;North America
383;2023;SE;FT;Research Engineer;306000;USD;306000;US;0;US;M;North America
384;2023;SE;FT;Data Architect;306000;USD;306000;US;100;US;M;North America
385;2023;SE;FT;Data Architect;306000;USD;306000;US;100;US;M;North America
386;2023;SE;FT;Data Architect;306000;USD;306000;US;100;US;M;North America
387;2023;SE;FT;Data Scientist;305600;USD;305600;US;0;US;M;North America
388;2023;SE;FT;Machine Learning Engineer;305600;USD;305600;US;0;US;M;North America
389;2023;SE;FT;Machine Learning Engineer;305600;USD;305600;US;0;US;M;North America
390;2023;SE;FT;Data Scientist;305600;USD;305600;US;0;US;M;North America
391;2023;SE;FT;AI Architect;305100;USD;305100;US;100;US;M;North America
392;2023;SE;FT;ML Engineer;305000;USD;305000;US;0;US;M;North America
393;2023;SE;FT;Data Engineer;305000;USD;305000;US;100;US;M;North America
396;2023;SE;FT;Data Engineer;304750;USD;304750;US;0;US;M;North America
397;2023;SE;FT;Data Engineer;304200;USD;304200;US;0;US;M;North America
398;2023;SE;FT;Machine Learning Engineer;304000;USD;304000;US;100;US;M;North America
404;2023;SE;FT;Research Scientist;303050;USD;303050;US;0;US;M;North America
405;2023;SE;FT;Research Scientist;303050;USD;303050;US;0;US;M;North America
406;2023;SE;FT;Research Scientist;303050;USD;303050;US;0;US;M;North America
408;2023;SE;FT;Machine Learning Software Engineer;302000;USD;302000;US;0;US;M;North America
409;2023;SE;FT;Data Scientist;300240;USD;300240;US;0;US;M;North America
410;2023;SE;FT;Data Scientist;300240;USD;300240;US;0;US;M;North America
411;2023;SE;FT;Data Infrastructure Engineer;300105;USD;300105;US;0;US;M;North America
429;2023;SE;FT;Research Engineer;300000;USD;300000;US;0;US;M;North America
430;2023;SE;FT;Data Engineer;300000;USD;300000;US;100;US;M;North America
431;2023;SE;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
432;2023;SE;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
433;2023;SE;FT;Data Scientist;300000;USD;300000;US;0;US;M;North America
434;2023;SE;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
435;2023;SE;FT;Data Engineer;300000;USD;300000;US;100;US;M;North America
436;2023;MI;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
437;2023;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
438;2023;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
439;2023;MI;FT;Research Engineer;300000;USD;300000;US;0;US;M;North America
440;2023;MI;FT;Research Engineer;300000;USD;300000;US;0;US;M;North America
441;2023;SE;FT;Machine Learning Scientist;300000;USD;300000;US;0;US;M;North America
442;2023;MI;FT;Analytics Engineer;300000;GBP;369120;GB;0;GB;M;Europe
443;2023;MI;FT;Research Scientist;300000;USD;300000;US;0;US;M;North America
444;2023;SE;FT;Data Scientist;300000;USD;300000;US;0;US;M;North America
445;2023;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
446;2023;SE;FT;Research Scientist;300000;USD;300000;US;0;US;M;North America
447;2023;SE;FT;ML Engineer;300000;USD;300000;US;0;US;M;North America
448;2023;MI;FT;AI Engineer;300000;GBP;369120;GB;0;GB;M;Europe
449;2023;MI;FT;Data Analyst;300000;GBP;369120;GB;0;GB;M;Europe
450;2023;MI;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
451;2023;MI;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
452;2023;MI;FT;AI Engineer;300000;USD;300000;QA;100;QA;M;Asia
453;2023;SE;FT;Data Scientist;300000;USD;300000;US;0;US;M;North America
454;2023;SE;FT;Data Scientist;300000;USD;300000;US;0;US;M;North America
455;2023;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
456;2023;SE;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
457;2023;MI;FT;Machine Learning Engineer;300000;USD;300000;GB;0;GB;M;Europe
458;2020;EX;FT;Managing Director Data Science;300000;USD;300000;US;100;US;L;North America
459;2023;MI;FT;ML Engineer;300000;USD;300000;AU;0;AU;M;Oceania
460;2023;SE;CT;Finance Data Analyst;300000;EUR;323905;FR;100;US;M;North America
461;2023;MI;FT;Machine Learning Engineer;300000;USD;300000;US;0;US;M;North America
462;2023;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
463;2023;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
464;2023;EX;FT;Data Scientist;300000;USD;300000;US;0;US;M;North America
465;2022;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
466;2022;SE;FT;Research Scientist;300000;USD;300000;US;100;US;M;North America
467;2022;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
468;2022;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
469;2022;SE;FT;Data Engineer;300000;USD;300000;US;0;US;M;North America
470;2022;SE;FT;Data Science Manager;300000;USD;300000;US;100;US;M;North America
471;2020;EN;FT;AI Scientist;300000;DKK;45896;DK;50;DK;S;Europe
473;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
474;2023;EX;FT;Data Scientist;299500;USD;299500;US;100;US;M;North America
475;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
476;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
477;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
478;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
479;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
480;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
481;2023;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
482;2022;SE;FT;Data Science Manager;299500;USD;299500;US;0;US;M;North America
483;2023;SE;FT;Machine Learning Engineer;299000;USD;299000;US;0;US;M;North America
484;2022;EX;FT;Data Engineer;297500;USD;297500;US;100;US;M;North America
485;2023;SE;FT;Data Scientist;297300;USD;297300;US;100;US;M;North America
486;2023;SE;FT;Data Science Manager;297300;USD;297300;US;100;US;M;North America
487;2023;SE;FT;Machine Learning Engineer;297300;USD;297300;US;100;US;M;North America
488;2023;SE;FT;Machine Learning Engineer;297300;USD;297300;US;100;US;M;North America
489;2023;SE;FT;Data Scientist;297300;USD;297300;US;100;US;M;North America
490;2023;SE;FT;Data Scientist;297300;USD;297300;US;100;US;M;North America
491;2023;SE;FT;ML Engineer;297300;USD;297300;US;100;US;M;North America
492;2023;SE;FT;Machine Learning Engineer;297300;USD;297300;US;100;US;M;North America
493;2023;SE;FT;Data Scientist;297300;USD;297300;US;100;US;M;North America
494;2023;SE;FT;Data Scientist;297300;USD;297300;US;100;US;M;North America
495;2023;SE;FT;Data Science Manager;297300;USD;297300;US;100;US;M;North America
496;2023;SE;FT;Data Scientist;297300;USD;297300;US;100;US;M;North America
500;2023;SE;FT;Data Scientist;297000;USD;297000;US;0;US;M;North America
501;2023;SE;FT;Machine Learning Engineer;297000;USD;297000;US;0;US;M;North America
503;2023;MI;FT;Data Scientist;296980;USD;296980;US;0;US;M;North America
505;2023;SE;FT;Machine Learning Engineer;296400;USD;296400;US;0;US;M;North America
506;2023;SE;FT;Machine Learning Engineer;296400;USD;296400;US;0;US;M;North America
507;2023;SE;FT;Machine Learning Engineer;296400;USD;296400;US;0;US;M;North America
509;2023;SE;FT;Data Scientist;296100;USD;296100;US;0;US;M;North America
510;2023;EX;FT;Machine Learning Engineer;295500;USD;295500;US;100;US;M;North America
